id,compartments,species,reactions,parameters,events,rules,function_definitions,time,bytes,gctime,gcstats,filesize
BIOMD0000000052,1,11,11,11,0,0,0,0.010955342,407173,0.0,"Base.GC_Diff(407173, 0, 0, 6186, 12, 0, 0, 0, 0)",18292
MODEL1006230060,1,0,0,41,0,8,0,0.018080012,273376,0.0,"Base.GC_Diff(273376, 1, 0, 7887, 8, 0, 0, 0, 0)",18024
MODEL7896869925,1,0,0,31,0,9,0,0.027024514,560376,0.0,"Base.GC_Diff(560376, 0, 0, 11473, 19, 0, 0, 0, 0)",17977
BIOMD0000000158,1,3,6,14,2,1,0,0.011009921,408928,0.0,"Base.GC_Diff(408928, 1, 0, 11367, 11, 0, 0, 0, 0)",17944
MODEL1201070001,1,0,0,49,0,14,0,0.013294615,688233,0.0,"Base.GC_Diff(688233, 2, 0, 11664, 12, 0, 0, 0, 0)",17848
MODEL1610100002,1,9,12,12,1,0,0,0.00974237,597664,0.0,"Base.GC_Diff(597664, 0, 0, 14953, 10, 0, 0, 0, 0)",17452
MODEL1006230115,1,0,0,26,0,8,0,0.010714726,159104,0.0,"Base.GC_Diff(159104, 0, 0, 3577, 7, 0, 0, 0, 0)",17284
MODEL1201140006,1,0,0,21,0,10,0,0.015275395,837934,0.0,"Base.GC_Diff(837934, 1, 0, 16022, 13, 0, 0, 0, 0)",17276
BIOMD0000000454,1,8,4,8,0,0,0,0.308090957,22177212,0.0,"Base.GC_Diff(22177212, 5, 0, 326217, 321, 0, 0, 0, 0)",16940
MODEL8686121468,1,0,0,27,0,16,0,0.016443957,264496,0.0,"Base.GC_Diff(264496, 0, 0, 5296, 3, 0, 0, 0, 0)",16801
MODEL7908934508,1,0,0,22,0,11,0,0.026124227,825950,0.0,"Base.GC_Diff(825950, 0, 0, 15375, 12, 0, 0, 0, 0)",16584
MODEL1006230035,1,0,0,19,0,6,0,0.024656041,1814597,0.0,"Base.GC_Diff(1814597, 1, 0, 29892, 28, 0, 0, 0, 0)",16500
MODEL1006230032,1,0,0,28,0,12,0,0.116697733,10603678,0.0,"Base.GC_Diff(10603678, 5, 0, 176726, 180, 0, 0, 0, 0)",16337
MODEL1112110003,1,6,0,35,0,17,0,0.065613271,6855265,0.0,"Base.GC_Diff(6855265, 3, 0, 120323, 70, 0, 0, 0, 0)",16146
MODEL1610100003,1,8,9,9,2,0,0,0.009761119,1137645,0.0,"Base.GC_Diff(1137645, 0, 0, 16364, 16, 0, 0, 0, 0)",16087
MODEL1611150001,1,0,0,25,0,6,0,0.00846157,628619,0.0,"Base.GC_Diff(628619, 0, 0, 10778, 7, 0, 0, 0, 0)",16000
BIOMD0000000521,2,4,0,10,0,5,0,0.009668611,1355347,0.0,"Base.GC_Diff(1355347, 0, 0, 20334, 19, 0, 0, 0, 0)",15870
MODEL6185746832,1,14,18,18,0,0,0,0.014184732,512431,0.0,"Base.GC_Diff(512431, 0, 0, 7457, 6, 0, 0, 0, 0)",15698
BIOMD0000000104,1,6,2,2,1,1,0,0.007927618,495616,0.0,"Base.GC_Diff(495616, 0, 0, 7735, 5, 0, 0, 0, 0)",15663
MODEL1304300000,1,8,4,8,0,0,0,0.020939488,883458,0.0,"Base.GC_Diff(883458, 3, 0, 20139, 16, 0, 0, 0, 0)",15573
MODEL1705170002,1,8,11,11,0,0,0,0.00842346,502008,0.0,"Base.GC_Diff(502008, 0, 0, 18164, 8, 0, 0, 0, 0)",15496
MODEL1201140000,1,0,0,45,0,12,0,0.011512592,400184,0.0,"Base.GC_Diff(400184, 1, 0, 10678, 12, 0, 0, 0, 0)",15450
MODEL1006230075,1,0,0,19,0,7,0,0.008936293,255008,0.0,"Base.GC_Diff(255008, 0, 0, 4695, 9, 0, 0, 0, 0)",15307
MODEL1006230110,1,0,0,22,0,8,0,0.029168961,2307048,0.0,"Base.GC_Diff(2307048, 1, 0, 37940, 32, 0, 0, 0, 0)",15296
